PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, AV06
Station name, AKU_AkutPtAK2005
Begin Date, 2005-06-22
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, AV06.pbo.nam08.pos
Offset from source file, -12.60 mm North, -7.17 mm East, 12.53 mm Vertical
Reference position, 54.1471796925 North Latitude, -165.7657206321 East Longitude, 463.09852 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2009-02-02,-7.60, -5.77, 13.93, 1.69, 1.28, 5.24, repro,
2009-02-03,-8.42, -4.08, 13.79, 1.83, 1.38, 5.66, repro,
2009-02-04,-6.82, -3.83, 15.74, 1.78, 1.34, 5.52, repro,
2009-02-05,-9.10, -4.99, 7.05, 1.83, 1.36, 5.63, repro,
2009-02-06,-9.66, -4.88, 6.48, 1.87, 1.41, 5.81, repro,
2009-02-07,-7.02, -5.69, -2.39, 1.91, 1.43, 5.88, repro,
2009-02-08,-7.31, -5.20, 15.89, 1.84, 1.38, 5.69, repro,
2009-02-09,-8.63, -4.12, 18.95, 1.61, 1.23, 5, repro,
2009-02-10,-8.73, -3.40, 14.93, 1.85, 1.39, 5.71, repro,
2009-02-11,-7.64, -3.37, 12.77, 1.8, 1.36, 5.57, repro,
2009-02-12,-8.98, -4.90, 19.40, 2.11, 1.56, 6.5, repro,
2009-02-13,-4.05, -9.83, -0.89, 2.06, 1.55, 6.42, repro,
2009-02-14,-8.77, -4.61, 5.12, 1.88, 1.42, 5.87, repro,
2009-02-15,-9.23, -5.50, 13.64, 1.94, 1.45, 6.01, repro,
2009-02-16,-9.26, -5.23, 16.68, 1.76, 1.33, 5.49, repro,
2009-02-17,-7.58, -5.61, 11.85, 1.74, 1.31, 5.48, repro,
2009-02-18,-7.69, -7.12, 2.03, 2.21, 1.63, 6.93, repro,
2009-02-19,-6.30, -6.13, 5.88, 1.93, 1.43, 5.99, repro,
2009-02-20,-7.07, -5.24, 8.73, 1.83, 1.35, 5.71, repro,
2009-02-21,-10.15, -6.46, -0.82, 2.12, 1.57, 6.61, repro,
2009-02-22,-8.15, -6.35, 7.84, 1.84, 1.38, 5.77, repro,
2009-02-23,-8.59, -6.76, 8.04, 1.75, 1.28, 5.45, repro,
2009-02-24,-7.12, -5.84, 14.19, 1.73, 1.29, 5.43, repro,
2009-02-25,-8.30, -10.81, -4.08, 2.38, 1.73, 7.4, repro,
2009-02-26,-5.26, -7.56, 6.24, 1.81, 1.34, 5.54, repro,
2009-02-27,-9.97, -7.80, 5.24, 2.05, 1.52, 6.31, repro,
2009-02-28,-8.91, -9.09, 10.05, 1.96, 1.46, 6.11, repro,
2009-03-01,-5.40, -6.76, 13.19, 1.63, 1.25, 5.11, repro,
2009-03-02,-4.72, -6.15, 15.63, 2.01, 1.5, 6.27, repro,
2009-03-03,-8.82, -6.41, 12.95, 1.93, 1.44, 5.99, repro,
2009-03-04,-5.64, -5.59, -11.30, 2.12, 1.55, 6.57, repro,
2009-03-05,-6.55, -5.02, 4.94, 1.84, 1.36, 5.77, repro,
2009-03-06,-5.96, -5.45, 6.78, 1.82, 1.33, 5.66, repro,
2009-03-07,-6.83, -3.29, 4.48, 1.96, 1.45, 6.12, repro,
2009-03-08,-9.21, -5.33, 7.79, 2.05, 1.5, 6.37, repro,
2009-03-09,-9.02, -6.82, 5.59, 2.06, 1.53, 6.39, repro,
2009-03-10,-8.84, -7.25, 9.75, 1.88, 1.39, 5.85, repro,
2009-03-11,-6.76, -7.09, 11.10, 1.83, 1.33, 5.56, repro,
2009-03-12,-6.08, -6.56, 13.10, 1.72, 1.28, 5.37, repro,
2009-03-13,-5.56, -9.87, 7.91, 1.79, 1.34, 5.6, repro,
2009-03-14,-5.86, -5.90, 11.93, 1.86, 1.38, 5.79, repro,
2009-03-15,-6.51, -6.38, 5.47, 1.86, 1.37, 5.75, repro,
2009-03-16,-12.16, -4.43, 10.90, 1.77, 1.31, 5.53, repro,
2009-03-17,-12.39, -4.29, 7.73, 1.71, 1.28, 5.3, repro,
2009-03-18,-13.78, -5.28, 0.48, 1.75, 1.34, 5.49, repro,
2009-03-19,-12.13, -4.27, 6.35, 1.76, 1.35, 5.51, repro,
2009-03-20,-10.78, -4.32, 7.04, 1.82, 1.38, 5.66, repro,
2009-03-21,-9.67, -3.98, 11.29, 1.77, 1.35, 5.57, repro,
2009-03-22,-11.19, -3.93, 12.38, 1.76, 1.34, 5.53, repro,
2009-03-23,-11.16, -3.57, 8.95, 1.69, 1.29, 5.31, repro,
2009-03-24,-10.66, -4.63, 13.21, 1.67, 1.29, 5.28, repro,
2009-03-25,-11.78, -3.74, 9.95, 1.61, 1.23, 5.07, repro,
2009-03-26,-11.51, -2.66, 14.42, 1.77, 1.34, 5.53, repro,
2009-03-27,-9.11, -4.55, 10.25, 1.63, 1.27, 5.23, repro,
2009-03-28,-10.30, -3.19, 7.95, 1.81, 1.39, 5.78, repro,
2009-03-29,-11.92, -0.45, 23.14, 2.1, 1.61, 6.71, repro,
2009-03-30,-9.77, -1.87, 11.37, 1.78, 1.38, 5.66, repro,
2009-03-31,-10.91, -3.33, 9.47, 1.69, 1.31, 5.37, repro,
2009-04-01,-11.60, -3.25, 7.45, 1.84, 1.41, 5.75, repro,
2009-04-02,-13.60, -2.91, 9.97, 1.98, 1.52, 6.11, repro,
2009-04-03,-14.79, -3.12, 14.34, 1.95, 1.5, 6.07, repro,
2009-04-04,-12.26, -3.28, 11.10, 1.92, 1.47, 5.97, repro,
2009-04-05,-9.81, -4.03, 9.56, 1.94, 1.45, 6.05, repro,
2009-04-06,-11.18, -4.74, 14.34, 1.99, 1.5, 6.14, repro,
2009-04-07,-11.14, -3.64, 16.07, 1.9, 1.44, 5.89, repro,
2009-04-08,-9.50, -2.85, 15.82, 1.87, 1.42, 5.78, repro,
2009-04-09,-11.06, -2.75, 12.12, 1.98, 1.49, 6.13, repro,
2009-04-10,-12.75, -3.18, 21.74, 1.88, 1.42, 5.79, repro,
2009-04-11,-13.21, -3.35, 14.79, 1.83, 1.4, 5.67, repro,
2009-04-12,-10.63, -4.17, 9.00, 1.56, 1.19, 4.85, repro,
2009-04-13,-10.53, -2.63, 8.32, 1.85, 1.41, 5.75, repro,
2009-04-14,-11.17, -4.86, 11.40, 1.81, 1.37, 5.62, repro,
2009-04-15,-17.22, -5.38, 10.86, 1.85, 1.39, 5.75, repro,
2009-04-16,-12.78, -4.77, 6.48, 1.74, 1.32, 5.38, repro,
2009-04-17,-16.21, -2.86, 2.52, 1.98, 1.51, 6.14, repro,
2009-04-18,-13.15, -4.59, 5.46, 1.97, 1.5, 6.08, repro,
2009-04-19,-11.55, -4.63, 5.81, 1.87, 1.39, 5.78, repro,
2009-04-20,-9.06, -3.79, 5.69, 1.92, 1.44, 5.95, repro,
2009-04-21,-9.09, -2.02, 8.93, 2.07, 1.53, 6.4, repro,
2009-04-22,-11.39, -5.51, 9.69, 2.17, 1.61, 6.72, repro,
2009-04-23,-10.80, -2.70, 11.02, 1.85, 1.4, 5.71, repro,
2009-04-24,-15.15, -3.88, 11.86, 1.95, 1.47, 6.07, repro,
2009-04-25,-12.75, -3.36, -1.97, 2.18, 1.63, 6.75, repro,
2009-04-26,-15.67, -4.73, 6.74, 2.01, 1.5, 6.23, repro,
2009-04-27,-12.15, -5.43, 8.23, 1.95, 1.49, 6.08, repro,
2009-04-28,-11.20, -3.45, 6.38, 1.91, 1.45, 5.94, repro,
2009-04-29,-10.71, -3.42, 9.69, 1.86, 1.43, 5.77, repro,
2009-04-30,-10.82, -4.26, 6.54, 1.96, 1.5, 6, repro,
2009-05-01,-10.57, -4.96, 13.90, 1.95, 1.53, 5.89, repro,
2009-05-02,-11.73, -6.59, 15.33, 1.99, 1.52, 6.15, repro,
2009-05-03,-11.58, -4.33, 10.07, 1.93, 1.46, 6.01, repro,
2009-05-04,-11.40, -3.22, 13.25, 1.93, 1.46, 6.02, repro,
2009-05-05,-12.30, -2.49, 9.57, 1.95, 1.47, 6.07, repro,
2009-05-06,-12.81, -2.66, 10.03, 1.88, 1.42, 5.88, repro,
2009-05-07,-11.67, -4.01, 10.02, 2.01, 1.52, 6.25, repro,
2009-05-08,-11.53, -4.23, 6.04, 1.86, 1.42, 5.81, repro,
2009-05-09,-11.12, -4.48, 7.52, 1.78, 1.37, 5.57, repro,
2009-05-10,-12.13, -2.96, 4.72, 1.8, 1.39, 5.65, repro,
2009-05-11,-10.95, -4.27, 7.59, 1.78, 1.37, 5.57, repro,
2009-05-12,-11.41, -3.94, 5.82, 1.83, 1.42, 5.78, repro,
2009-05-13,-11.49, -4.37, 13.65, 1.78, 1.36, 5.55, repro,
2009-05-14,-11.42, -3.30, 10.83, 1.85, 1.41, 5.79, repro,
2009-05-15,-12.11, -3.11, 6.38, 1.81, 1.38, 5.64, repro,
2009-05-16,-13.88, -4.21, 8.93, 1.9, 1.44, 5.92, repro,
2009-05-17,-11.20, -4.69, 15.61, 1.98, 1.49, 6.17, repro,
2009-05-18,-13.62, -6.49, 9.12, 1.93, 1.5, 6.02, repro,
2009-05-19,-11.11, -5.79, 10.90, 2.04, 1.58, 6.31, repro,
2009-05-20,-12.02, -4.09, 17.16, 1.86, 1.45, 5.82, repro,
2009-05-21,-11.66, -1.65, 17.17, 1.98, 1.53, 6.18, repro,
2009-05-22,-10.42, -3.68, 9.18, 2.02, 1.54, 6.32, repro,
2009-05-23,-11.30, -4.20, 5.65, 1.92, 1.49, 6.01, repro,
2009-05-24,-12.84, -4.75, 2.33, 2, 1.52, 6.17, repro,
2009-05-25,-12.12, -4.25, 3.86, 1.97, 1.51, 6.15, repro,
2009-05-26,-13.86, -1.80, -1.73, 1.96, 1.5, 6.12, repro,
2009-05-27,-9.90, -3.42, 4.81, 1.84, 1.42, 5.76, repro,
2009-05-28,-11.16, -3.66, 12.23, 1.85, 1.42, 5.78, repro,
2009-05-29,-9.50, -4.08, 12.73, 1.78, 1.37, 5.56, repro,
2009-05-30,-5.64, -3.35, 14.67, 1.99, 1.52, 6.21, repro,
2009-05-31,-14.02, -2.46, 14.02, 1.97, 1.5, 6.11, repro,
2009-06-01,-11.83, -3.72, 10.04, 1.96, 1.49, 6.09, repro,
2009-06-02,-15.43, -4.37, 1.69, 1.94, 1.48, 6.02, repro,
2009-06-03,-11.47, -4.18, 4.51, 1.97, 1.5, 6.12, repro,
2009-06-04,-11.85, -3.60, 9.88, 1.92, 1.46, 5.95, repro,
2009-06-05,-16.03, -7.01, 9.23, 1.99, 1.52, 6.2, repro,
2009-06-06,-12.36, -5.58, 6.63, 2.04, 1.54, 6.34, repro,
2009-06-07,-10.52, -2.83, 7.88, 1.89, 1.44, 5.88, repro,
2009-06-08,-8.93, -1.91, 9.64, 1.94, 1.48, 6, repro,
2009-06-09,-6.66, -5.78, 16.33, 1.98, 1.49, 6.14, repro,
2009-06-10,-9.34, -3.65, 13.43, 1.97, 1.49, 6.14, repro,
2009-06-11,-11.91, -3.38, 8.18, 1.95, 1.47, 6.06, repro,
2009-06-12,-10.91, -3.77, 10.45, 1.88, 1.44, 5.84, repro,
2009-06-13,-10.51, -3.21, 11.76, 1.81, 1.37, 5.63, repro,
2009-06-14,-9.68, -3.24, 13.52, 1.76, 1.35, 5.48, repro,
2009-06-15,-9.07, -4.52, 10.72, 1.81, 1.38, 5.64, repro,
2009-06-16,-11.21, -3.65, 12.59, 1.88, 1.42, 5.82, repro,
2009-06-17,-12.20, -3.47, 12.83, 1.84, 1.39, 5.71, repro,
2009-06-18,-8.75, -3.89, 14.04, 1.82, 1.38, 5.69, repro,
2009-06-19,-15.18, -5.58, 9.91, 2, 1.5, 6.21, repro,
2009-06-20,-11.65, -4.07, 13.73, 1.8, 1.36, 5.6, repro,
2009-06-21,-10.44, -3.57, 10.58, 1.83, 1.38, 5.73, repro,
2009-06-22,-10.53, -3.86, 10.47, 1.82, 1.37, 5.68, repro,
2009-06-23,-12.74, -2.58, 19.19, 1.95, 1.46, 6.1, repro,
2009-06-24,-11.20, -3.44, 12.39, 1.7, 1.28, 5.33, repro,
2009-06-25,-10.73, -3.42, 12.20, 1.69, 1.28, 5.3, repro,
2009-06-26,-10.36, -3.31, 11.61, 1.85, 1.38, 5.76, repro,
2009-06-27,-11.40, -3.25, 10.63, 1.91, 1.42, 5.93, repro,
2009-06-28,-10.81, -3.82, 9.98, 1.79, 1.33, 5.59, repro,
2009-06-29,-9.93, -3.95, 11.33, 1.94, 1.43, 6.01, repro,
2009-06-30,-7.95, -4.28, 14.98, 1.89, 1.39, 5.86, repro,
2009-07-01,-8.09, -4.29, 9.07, 1.94, 1.44, 6.01, repro,
2009-07-02,-10.52, -4.24, 8.56, 1.82, 1.36, 5.67, repro,
2009-07-03,-10.98, -4.33, 11.92, 2.23, 1.63, 6.99, repro,
2009-07-04,-6.32, -4.00, 10.97, 2.07, 1.53, 6.45, repro,
2009-07-05,-13.92, -3.77, 13.84, 2.2, 1.61, 6.85, repro,
2009-07-06,-13.22, -3.57, -1.23, 2.45, 1.79, 7.61, repro,
2009-07-07,-12.73, -6.26, 6.02, 2.13, 1.56, 6.61, repro,
2009-07-08,-10.85, -4.01, 11.24, 1.72, 1.29, 5.37, repro,
2009-07-09,-11.11, -3.65, 11.48, 1.84, 1.37, 5.71, repro,
2009-07-10,-12.03, -4.63, 11.54, 1.99, 1.48, 6.27, repro,
2009-07-11,-9.95, -5.17, 16.69, 1.8, 1.34, 5.59, repro,
2009-07-12,1.85, -3.76, 23.72, 2.08, 1.54, 6.54, repro,
2009-07-13,-13.62, -5.71, 10.37, 2.28, 1.66, 7.13, repro,
2009-07-14,-11.40, -4.78, 15.74, 1.81, 1.35, 5.69, repro,
2009-07-15,-10.65, -4.13, 20.66, 1.71, 1.28, 5.39, repro,
2009-07-16,-8.94, -2.67, 12.84, 2.1, 1.55, 6.58, repro,
2009-07-17,-10.93, -3.19, 14.77, 2.13, 1.58, 6.66, repro,
2009-07-18,-11.40, -6.26, 23.03, 1.85, 1.38, 5.8, repro,
2009-07-19,-12.67, -3.06, 27.59, 1.9, 1.41, 5.94, repro,
2009-07-20,-7.94, -3.64, 21.55, 1.81, 1.36, 5.61, repro,
2009-07-21,-8.98, -1.35, 17.29, 2.13, 1.58, 6.67, repro,
2009-07-22,-10.89, -1.78, 21.26, 1.99, 1.48, 6.22, repro,
2009-07-23,-11.21, -4.06, 32.08, 2.1, 1.56, 6.62, repro,
2009-07-24,-11.09, -4.30, 21.31, 1.88, 1.41, 5.86, repro,
2009-07-25,-10.05, -4.27, 19.43, 1.68, 1.26, 5.28, repro,
2009-07-26,-11.27, -4.12, 14.67, 1.72, 1.29, 5.41, repro,
2009-07-27,-10.54, -3.91, 10.77, 1.79, 1.34, 5.63, repro,
2009-07-28,-10.86, -3.69, 13.94, 1.63, 1.23, 5.16, repro,
2009-07-29,-10.66, -4.37, 16.22, 1.62, 1.22, 5.12, repro,
2009-07-30,-9.95, -3.86, 14.49, 1.71, 1.3, 5.54, repro,
2009-07-31,-9.57, -3.75, 19.51, 1.69, 1.26, 5.38, repro,
2009-08-01,-11.58, -4.59, 11.79, 1.76, 1.32, 5.56, repro,
2009-08-02,-10.05, -3.26, 11.52, 1.76, 1.32, 5.57, repro,
2009-08-03,-9.21, -2.74, 19.48, 2.07, 1.51, 6.46, repro,
2009-08-04,-7.36, -3.17, 26.05, 1.84, 1.35, 5.79, repro,
2009-08-05,-13.08, -6.36, 11.52, 1.93, 1.46, 6.23, repro,
2009-08-06,-8.31, -2.82, 18.92, 1.81, 1.36, 5.72, repro,
2009-08-07,-9.98, -3.18, 14.73, 1.71, 1.29, 5.41, repro,
2009-08-08,-9.53, -1.81, 14.70, 1.85, 1.36, 5.73, repro,
2009-08-09,-10.49, -2.77, 14.16, 1.81, 1.36, 5.72, repro,
2009-08-10,-10.55, -4.01, 14.89, 1.78, 1.34, 5.59, repro,
2009-08-11,-8.98, -4.37, 16.99, 1.86, 1.41, 5.84, repro,
2009-08-12,-12.75, -5.89, 12.84, 2.32, 1.7, 7.23, repro,
2009-08-13,-15.54, -6.59, 12.06, 2.26, 1.67, 7.07, repro,
2009-08-14,-10.91, -4.24, 13.47, 1.74, 1.31, 5.46, repro,
2009-08-15,-10.17, -4.04, 13.44, 1.73, 1.3, 5.43, repro,
2009-08-16,-11.67, -4.44, 15.41, 1.68, 1.25, 5.24, repro,
2009-08-17,-10.92, -4.27, 12.57, 1.68, 1.27, 5.26, repro,
2009-08-18,-11.84, -4.07, 12.20, 1.79, 1.34, 5.61, repro,
2009-08-19,-11.44, -3.34, 13.27, 1.85, 1.39, 5.73, repro,
2009-08-20,-8.42, -5.76, 10.14, 1.97, 1.47, 6.19, repro,
2009-08-21,-11.01, -4.50, 14.30, 1.7, 1.28, 5.3, repro,
2009-08-22,-10.73, -3.31, 15.17, 1.85, 1.38, 5.82, repro,
2009-08-23,-17.13, 0.67, 24.75, 2, 1.48, 6.26, repro,
2009-08-24,-10.93, -3.89, 16.12, 2.02, 1.48, 6.26, repro,
2009-08-25,-14.60, -2.97, 14.88, 1.85, 1.36, 5.76, repro,
2009-08-26,-12.56, -3.88, 9.69, 1.96, 1.44, 6.08, repro,
2009-08-27,-14.21, -5.41, 9.47, 2.03, 1.49, 6.35, repro,
2009-08-28,-18.61, -6.52, 14.33, 1.92, 1.44, 6.06, repro,
2009-08-29,-12.27, -5.30, 12.22, 2.08, 1.54, 6.54, repro,
2009-08-30,-11.00, -2.96, 12.56, 1.87, 1.43, 5.91, repro,
2009-08-31,-12.11, -5.14, 16.73, 1.73, 1.35, 5.44, repro,
2009-09-01,-7.94, -3.28, 14.03, 1.94, 1.46, 6.12, repro,
2009-09-02,-11.33, -4.55, 11.53, 2.06, 1.55, 6.48, repro,
2009-09-03,-16.90, -4.56, 4.73, 1.98, 1.5, 6.28, repro,
2009-09-04,-11.76, -3.63, 15.44, 1.76, 1.35, 5.61, repro,
2009-09-05,-11.47, -5.54, 18.88, 1.74, 1.33, 5.51, repro,
2009-09-06,-10.07, -4.12, 9.25, 2.1, 1.56, 6.56, repro,
2009-09-07,-11.54, -3.41, 10.63, 1.88, 1.43, 5.98, repro,
2009-09-08,-14.96, -3.76, 19.12, 1.94, 1.46, 6.17, repro,
2009-09-09,-15.28, -4.15, 18.87, 1.96, 1.48, 6.26, repro,
2009-09-10,-14.75, -3.85, 14.75, 2.02, 1.52, 6.43, repro,
2009-09-11,-13.00, -4.15, 6.26, 1.91, 1.44, 6.07, repro,
2009-09-12,-11.98, -3.22, 14.72, 1.86, 1.41, 5.95, repro,
2009-09-13,-11.90, -3.35, 17.61, 1.74, 1.33, 5.6, repro,
2009-09-14,-13.35, -4.86, 14.16, 1.84, 1.38, 5.84, repro,
2009-09-15,-10.28, -3.51, 7.50, 1.79, 1.35, 5.74, repro,
2009-09-16,-10.84, -4.46, 7.73, 1.78, 1.35, 5.73, repro,
2009-09-17,-13.44, -4.12, 14.54, 1.87, 1.41, 5.99, repro,
2009-09-18,-12.66, -3.61, 15.08, 2, 1.55, 6.33, repro,
2009-09-19,-10.97, -4.44, 7.57, 1.8, 1.36, 5.74, repro,
2009-09-20,-12.18, -4.07, 12.50, 1.86, 1.4, 5.84, repro,
2009-09-21,-14.69, -3.36, 3.52, 1.85, 1.41, 5.87, repro,
2009-09-22,-11.17, -4.17, 5.21, 1.72, 1.33, 5.46, repro,
2009-09-23,-10.74, -5.31, 11.99, 1.88, 1.43, 5.93, repro,
2009-09-24,-14.31, -2.77, 15.11, 1.92, 1.46, 6.06, repro,
2009-09-25,-11.77, -2.53, 8.56, 1.98, 1.5, 6.18, repro,
2009-09-26,-14.70, -2.17, 7.96, 1.88, 1.42, 5.94, repro,
2009-09-27,-12.11, -3.47, 9.79, 1.88, 1.41, 5.94, repro,
2009-09-28,-18.06, -6.17, 8.38, 1.88, 1.42, 5.94, repro,
2009-09-29,-11.50, -1.71, 11.21, 2.07, 1.55, 6.49, repro,
2009-09-30,-6.73, -5.35, 9.20, 2.19, 1.62, 6.87, repro,
2009-10-01,-9.70, -3.69, 13.94, 1.81, 1.37, 5.69, repro,
2009-10-02,-13.13, -5.52, 7.86, 2.06, 1.54, 6.45, repro,
2009-10-03,-16.23, -4.60, 16.08, 1.95, 1.44, 6.05, repro,
2009-10-04,-10.93, -4.14, 8.99, 1.82, 1.37, 5.76, repro,
2009-10-05,-11.96, -3.31, 4.96, 1.72, 1.3, 5.44, repro,
2009-10-06,-11.55, -2.72, 11.79, 2.01, 1.51, 6.27, repro,
2009-10-07,-13.09, -3.12, 7.88, 2.21, 1.63, 6.94, repro,
2009-10-08,-12.95, -2.42, 16.21, 2, 1.49, 6.32, repro,
2009-10-09,-11.85, -3.54, 10.97, 1.95, 1.46, 6.16, repro,
2009-10-10,-15.61, -6.53, 5.77, 1.92, 1.45, 6.15, repro,
2009-10-11,-10.38, -4.02, 11.25, 1.84, 1.37, 5.79, repro,
2009-10-12,-10.27, -4.14, 12.60, 1.83, 1.36, 5.78, repro,
2009-10-13,-10.36, -3.20, 20.67, 1.72, 1.29, 5.43, repro,
2009-10-14,-11.58, -3.89, 20.76, 1.81, 1.35, 5.71, repro,
2009-10-15,-15.14, -5.17, 15.20, 1.94, 1.42, 6.02, repro,
2009-10-16,-14.33, -4.16, 8.84, 1.85, 1.43, 5.75, repro,
2009-10-17,-11.51, -4.20, 21.18, 1.84, 1.37, 5.69, repro,
2009-10-18,-10.01, -3.21, 17.45, 1.84, 1.35, 5.71, repro,
2009-10-19,-12.33, -3.52, 16.12, 1.79, 1.32, 5.61, repro,
2009-10-20,-14.39, -3.08, 17.68, 1.9, 1.42, 5.88, repro,
2009-10-21,-14.85, -3.72, 20.48, 1.83, 1.36, 5.72, repro,
2009-10-22,-13.27, -4.39, 21.76, 1.77, 1.32, 5.51, repro,
2009-10-23,-13.11, -4.28, 22.30, 1.78, 1.31, 5.55, repro,
2009-10-24,-13.62, -3.67, 20.04, 1.78, 1.33, 5.56, repro,
2009-10-25,-11.80, -4.06, 21.77, 1.8, 1.32, 5.6, repro,
2009-10-26,-12.71, -2.80, 17.37, 1.96, 1.44, 6.09, repro,
2009-10-27,-12.00, -3.57, 15.20, 1.81, 1.39, 5.66, repro,
2009-10-28,-15.99, -4.77, 14.02, 2, 1.51, 6.25, repro,
2009-10-29,-16.11, -2.21, 14.56, 2.03, 1.54, 6.35, repro,
2009-10-30,-15.36, -1.42, 10.11, 1.91, 1.46, 6.01, repro,
2009-10-31,-16.24, -1.20, 12.67, 1.99, 1.53, 6.23, repro,
2009-11-01,-12.91, -4.97, 11.87, 1.84, 1.43, 5.86, repro,
2009-11-02,-12.30, -5.49, 12.81, 1.87, 1.48, 5.94, repro,
2009-11-03,-15.03, -6.92, 9.39, 2.22, 1.7, 7.06, repro,
2009-11-04,-13.07, -6.48, 8.73, 1.93, 1.51, 6.13, repro,
2009-11-05,-11.82, -8.31, 12.56, 2.18, 1.66, 6.91, repro,
2009-11-06,-11.72, -7.41, 14.01, 2.08, 1.6, 6.48, repro,
2009-11-07,-12.36, -4.64, 16.93, 2.1, 1.62, 6.58, repro,
2009-11-08,-12.68, -5.89, 14.14, 1.99, 1.55, 6.23, repro,
2009-11-09,-13.00, 3.73, 20.06, 2.1, 1.61, 6.57, repro,
2009-11-10,-16.23, -4.21, 19.62, 2.15, 1.63, 6.72, repro,
2009-11-11,-15.91, -4.64, 15.23, 2.48, 1.84, 7.73, repro,
2009-11-12,-11.03, -7.35, 7.90, 2.07, 1.58, 6.46, repro,
2009-11-13,-14.85, -4.01, 22.14, 1.9, 1.47, 5.98, repro,
2009-11-14,-13.81, -6.88, 14.56, 1.98, 1.53, 6.19, repro,
2009-11-15,-14.11, -5.75, 18.84, 1.94, 1.5, 6.05, repro,
2009-11-16,-12.67, -7.66, 5.25, 1.93, 1.49, 6.02, repro,
2009-11-17,-13.68, -6.15, 13.72, 1.74, 1.39, 5.55, repro,
2009-11-18,-15.21, -4.51, 13.33, 1.77, 1.39, 5.53, repro,
2009-11-19,-15.64, -6.22, 16.39, 1.81, 1.41, 5.66, repro,
2009-11-20,-15.43, -2.67, 18.83, 1.9, 1.47, 5.93, repro,
2009-11-21,-13.72, -2.35, 13.82, 2.06, 1.58, 6.45, repro,
2009-11-22,-15.58, -3.30, 13.86, 1.97, 1.51, 6.14, repro,
2009-11-23,-16.34, -3.79, 16.04, 1.88, 1.45, 5.88, repro,
2009-11-24,-14.18, -4.73, 9.86, 1.71, 1.35, 5.42, repro,
2009-11-25,-14.59, -5.27, 7.12, 1.94, 1.5, 6.04, repro,
2009-11-26,-14.60, -2.83, 9.59, 1.86, 1.42, 5.79, repro,
2009-11-27,-13.33, -4.65, 12.84, 1.88, 1.44, 5.84, repro,
2009-11-28,-14.98, -5.14, 9.07, 1.76, 1.37, 5.53, repro,
2009-11-29,-16.24, -5.35, 7.30, 1.83, 1.41, 5.73, repro,
2009-11-30,-16.56, -3.68, 6.99, 1.99, 1.51, 6.2, repro,
2009-12-01,-15.31, -4.00, 4.32, 1.64, 1.27, 5.15, repro,
2009-12-02,-14.67, -6.01, 2.82, 1.7, 1.31, 5.35, repro,
2009-12-03,-13.80, -5.61, 8.64, 1.72, 1.33, 5.42, repro,
2009-12-04,-14.03, -4.02, 15.61, 1.94, 1.48, 6.01, repro,
2009-12-05,-14.34, -4.82, 9.64, 1.96, 1.49, 6.17, repro,
2009-12-06,-14.71, -5.27, 11.64, 1.94, 1.49, 6.1, repro,
2009-12-07,-14.27, -4.29, 6.96, 1.86, 1.41, 5.79, repro,
2009-12-08,-14.65, -3.97, 8.07, 1.92, 1.46, 6, repro,
2009-12-09,-13.79, -5.11, 4.93, 1.95, 1.46, 6.05, repro,
2009-12-10,-14.85, -5.16, 3.74, 1.85, 1.42, 5.81, repro,
2009-12-11,-11.19, -6.23, 15.00, 1.86, 1.42, 5.71, repro,
2009-12-12,-11.73, -6.35, 13.67, 1.72, 1.33, 5.4, repro,
2009-12-13,-13.62, -5.52, 12.00, 1.74, 1.33, 5.47, repro,
2009-12-14,-14.15, -4.45, 9.84, 1.76, 1.33, 5.5, repro,
2009-12-15,-15.88, -5.41, 16.40, 1.78, 1.36, 5.59, repro,
2009-12-16,-17.32, -4.72, 12.39, 1.65, 1.26, 5.21, repro,
2009-12-17,-17.39, -5.80, 11.40, 1.67, 1.28, 5.23, repro,
2009-12-18,-12.82, -4.87, 8.69, 1.67, 1.27, 5.23, repro,
2009-12-19,-14.51, -4.40, 14.17, 1.85, 1.38, 5.76, repro,
2009-12-20,-15.34, -6.18, 15.11, 1.85, 1.39, 5.77, repro,
2009-12-21,-15.13, -5.33, 11.21, 1.84, 1.38, 5.74, repro,
2009-12-22,-15.56, -4.14, 4.90, 1.89, 1.4, 5.9, repro,
2009-12-23,-14.54, -5.49, 11.09, 1.82, 1.35, 5.71, repro,
2009-12-24,-16.47, -7.17, 15.00, 1.9, 1.4, 5.9, repro,
2009-12-25,-15.65, -4.61, 10.74, 1.9, 1.4, 5.91, repro,
2009-12-26,-14.58, -5.92, 7.04, 1.83, 1.34, 5.69, repro,
2009-12-27,-12.61, -6.14, 9.76, 1.73, 1.28, 5.43, repro,
2009-12-28,-13.37, -7.05, 15.04, 1.84, 1.36, 5.77, repro,
2009-12-29,-13.63, -6.21, 13.48, 1.85, 1.35, 5.78, repro,
2009-12-30,-14.84, -5.14, 6.14, 1.83, 1.35, 5.75, repro,
2009-12-31,-10.53, -5.75, 10.58, 1.81, 1.33, 5.65, repro,
2010-01-01,-13.19, -5.89, 11.61, 1.76, 1.29, 5.53, repro,
2010-01-02,-13.70, -5.39, 10.00, 1.76, 1.3, 5.56, repro,
